ID,House Number:
18,"{ lat: 42.4411844, lng: -76.4978987 }"
19,"{ lat: 42.4400126, lng: -76.4959011 }"
38,"{ lat: 42.4411844, lng: -76.4978987 }"
39,"{ lat: 42.4400126, lng: -76.4959011 }"
40,"{ lat: 42.4400126, lng: -76.4959011 }"
41,"{ lat: 42.4400126, lng: -76.4959011 }"
42,"{ lat: 42.4400126, lng: -76.4959011 }"
43,"{ lat: 42.4401429, lng: -76.4949048 }"
44,"{ lat: 42.4401429, lng: -76.4949048 }"
45,"{ lat: 42.4401429, lng: -76.4949048 }"
46,"{ lat: 42.4401429, lng: -76.4949048 }"
47,"{ lat: 42.4401429, lng: -76.4949048 }"
48,"{ lat: 42.4401429, lng: -76.4949048 }"
49,"{ lat: 42.4401429, lng: -76.4949048 }"
50,"{ lat: 42.4401429, lng: -76.4949048 }"
51,"{ lat: 42.4401429, lng: -76.4949048 }"
52,"{ lat: 42.4401429, lng: -76.4949048 }"
53,"{ lat: 42.4401429, lng: -76.4949048 }"
54,"{ lat: 42.4355762, lng: -76.4838034 }"
56,"{ lat: 42.4419942, lng: -76.4873186 }"
57,"{ lat: 42.4419942, lng: -76.4873186 }"
58,"{ lat: 42.4414247, lng: -76.4864379 }"
59,"{ lat: 42.439359, lng: -76.4861075 }"
60,"{ lat: 42.43996610000001, lng: -76.4826739 }"
61,"{ lat: 42.4408551, lng: -76.4830127 }"
62,"{ lat: 42.4408551, lng: -76.4830127 }"
64,"{ lat: 42.4408551, lng: -76.4830127 }"
65,"{ lat: 42.4408551, lng: -76.4830127 }"
66,"{ lat: 42.4408551, lng: -76.4830127 }"
67,"{ lat: 42.4414846, lng: -76.487268 }"
68,"{ lat: 42.4414846, lng: -76.487268 }"
69,"{ lat: 42.4414846, lng: -76.487268 }"
70,"{ lat: 42.4414846, lng: -76.487268 }"
71,"{ lat: 42.4405104, lng: -76.4851953 }"
72,"{ lat: 42.4396274, lng: -76.48393890000001 }"
73,"{ lat: 42.4412429, lng: -76.482945 }"
74,"{ lat: 42.43992410000001, lng: -76.4848425 }"
75,"{ lat: 42.4439614, lng: -76.5018807 }"
76,"{ lat: 42.4409029, lng: -76.4816799 }"
77,"{ lat: 42.4411609, lng: -76.4819943 }"
78,"{ lat: 42.4375655, lng: -76.4761678 }"
79,"{ lat: 42.4418523, lng: -76.48425519999999 }"
126,"{ lat: 42.4418381, lng: -76.48870529999999 }"
127,"{ lat: 42.4413634, lng: -76.4872596 }"
128,"{ lat: 42.4414846, lng: -76.487268 }"
129,"{ lat: 42.4397187, lng: -76.4834419 }"
130,"{ lat: 42.4506606, lng: -76.5017836 }"
131,"{ lat: 42.4506606, lng: -76.5017836 }"
132,"{ lat: 42.4553866, lng: -76.4721733 }"
133,"{ lat: 42.4407054, lng: -76.4853847 }"
134,"{ lat: 42.4407054, lng: -76.4853847 }"
135,"{ lat: 42.4401775, lng: -76.4853847 }"
136,"{ lat: 42.4401775, lng: -76.4853847 }"
137,"{ lat: 42.4412278, lng: -76.4850232 }"
138,"{ lat: 42.4412278, lng: -76.4850232 }"
141,"{ lat: 42.43981429999999, lng: -76.48077630000002 }"
142,"{ lat: 42.4396274, lng: -76.48393890000001 }"
143,"{ lat: 42.44107100000001, lng: -76.484864 }"
144,"{ lat: 42.4397187, lng: -76.4834419 }"
145,"{ lat: 42.4381191, lng: -76.48425519999999 }"
146,"{ lat: 42.4417442, lng: -76.48503219999999 }"
149,"{ lat: 42.4411836, lng: -76.48276419999999 }"
150,"{ lat: 42.4411836, lng: -76.48276419999999 }"
151,"{ lat: 42.4408551, lng: -76.4830127 }"
152,"{ lat: 42.4408551, lng: -76.4830127 }"
153,"{ lat: 42.4408551, lng: -76.4830127 }"
